from,to,amount
257,711,943
737,954,978
174,780,587
173,535,226
205,623,690
289,490,208
431,435,986
347,520,861
958,358,246
438,778,821
446,364,150
620,211,18
948,434,379
949,195,785
253,517,815
289,239,485
889,31,796
308,225,275
551,817,134
389,672,639
507,46,389
166,976,164
750,498,505
16,926,168
876,554,529
842,328,737
48,160,224
446,540,149
152,327,853
517,478,12
712,211,264
390,915,795
298,160,333
96,994,564
723,301,781
652,158,508
872,586,100
469,4,861
549,14,358
174,330,713
398,964,589
247,346,619
122,177,286
485,585,319
296,939,362
721,682,436
536,366,312
598,506,265
966,793,268
645,651,297
799,939,335
532,310,631
588,91,521
649,120,735
388,414,964
466,827,516
268,355,945
248,606,8
121,111,243
531,406,294
357,800,275
857,943,314
681,201,77
807,505,613
339,222,147
708,113,635
900,991,607
697,539,675
698,408,530
113,161,963
495,380,383
945,338,465
939,552,509
254,951,653
60,994,330
900,608,892
468,167,840
184,485,393
382,932,598
467,853,347
858,715,258
848,578,991
207,795,455
511,318,761
494,92,634
838,995,724
734,107,455
196,752,638
692,419,663
868,764,940
93,592,25
501,861,589
917,235,284
111,531,352
456,545,436
18,50,89
290,831,390
681,368,935
59,673,727
957,97,250
277,624,895
53,271,374
48,305,273
481,6,716
324,370,641
995,874,422
649,327,848
643,672,283
640,492,212
594,122,970
695,986,186
336,163,924
367,769,928
997,97,797
728,6,694
821,847,717
914,960,436
310,214,386
382,347,703
108,873,659
128,920,465
294,521,275
969,318,89
325,759,848
655,596,94
754,341,24
475,588,476
327,890,260
245,419,631
303,487,298
361,547,367
92,871,60
81,371,371
759,544,467
495,171,362
879,603,576
117,57,144
425,621,506
679,865,610
226,977,254
947,564,301
810,283,306
915,949,588
516,158,182
458,228,780
729,299,841
355,612,320
717,172,782
170,866,137
829,563,877
427,763,488
258,284,167
987,111,954
601,117,575
889,25,171
231,154,75
164,343,137
57,378,480
130,71,959
972,865,235
695,150,669
28,298,283
185,653,844
843,905,316
856,796,551
760,688,152
24,696,547
107,341,376
29,599,345
65,250,921
403,600,553
686,651,313
222,875,157
605,511,606
696,284,474
177,995,363
519,97,557
95,134,556
910,649,326
670,51,211
1,226,942
685,966,44
717,589,276
928,226,417
731,871,733
282,23,754
340,645,656
818,703,509
701,686,450
416,169,206
26,835,151
184,368,594
764,438,348
363,159,854
854,911,917
421,588,505
898,488,169
578,878,29
817,722,264
897,679,980
226,626,105
69,833,532
193,712,417
403,741,162
118,246,138
487,793,35
399,352,104
61,841,595
172,655,713
52,607,563
242,581,569
675,756,531
978,326,857
918,916,509
200,66,220
834,344,647
800,268,622
10,115,440
217,609,269
225,979,737
364,153,110
797,745,512
376,797,386
588,646,108
899,610,79
559,968,73
215,697,450
225,865,179
493,297,329
609,737,881
654,713,76
214,425,409
948,444,49
741,619,687
678,764,970
302,601,611
13,122,355
402,985,941
76,623,628
363,683,264
777,230,583
143,37,157
871,450,587
173,372,720
437,876,89
844,938,739
997,194,478
866,290,709
789,822,826
391,547,775
589,812,960
506,626,803
753,19,579
38,280,51
329,855,941
981,131,869
90,609,267
496,370,325
862,79,165
768,43,841
788,205,184
192,365,199
87,798,467
652,478,747
255,99,829
744,542,316
441,498,289
151,927,496
451,549,555
231,940,661
967,207,928
229,545,660
117,577,23
964,339,76
819,395,486
637,5,61
413,465,759
621,338,876
232,435,542
509,558,879
915,789,87
249,315,563
725,420,687
271,850,961
732,543,103
608,295,473
122,534,412
60,482,299
415,389,163
528,859,972
702,346,680
922,915,538
485,962,310
165,412,62
733,629,246
879,225,455
437,933,562
905,649,438
227,615,679
245,787,209
306,751,810
182,769,701
663,798,863
297,143,248
583,913,511
836,738,539
294,371,442
46,195,49
168,568,315
757,840,130
701,710,530
434,214,817
390,279,37
275,167,935
339,361,359
948,654,948
869,829,977
536,783,9
29,869,130
713,439,87
560,462,582
759,48,432
631,600,308
915,850,833
113,351,546
917,527,766
328,630,816
359,334,734
585,605,127
815,751,750
820,277,46
308,96,442
63,804,337
717,108,34
1,689,397
608,393,307
19,111,967
634,723,922
261,11,109
213,862,179
633,281,910
32,216,835
813,616,185
994,169,60
371,405,322
189,392,950
179,457,149
5,154,784
734,63,95
785,753,609
947,846,680
481,687,780
858,444,21
20,361,555
404,552,554
637,98,522
842,734,974
971,338,512
521,559,556
525,192,980
986,90,762
945,25,920
863,660,429
349,830,271
839,319,925
556,632,911
574,703,440
838,274,354
713,305,699
963,285,747
695,827,985
726,904,8
960,467,156
691,937,185
140,213,165
675,774,910
36,654,381
726,644,120
723,138,715
41,449,177
213,882,858
729,684,287
976,615,808
375,208,581
52,258,776
12,987,147
875,599,306
810,673,812
968,493,933
739,226,751
675,196,850
821,560,103
532,34,118
484,681,308
743,37,932
821,529,488
340,899,775
970,79,736
485,398,172
69,422,575
308,335,736
462,106,202
675,826,885
859,324,449
904,67,755
768,288,827
729,956,729
102,490,40
267,213,354
61,296,117
893,551,248
222,900,49
787,482,57
4,632,564
771,669,449
617,733,940
81,530,758
749,427,244
472,619,378
571,800,857
780,358,396
657,598,235
461,15,646
726,848,100
704,143,579
407,709,581
981,645,984
908,279,144
23,925,795
464,2,454
247,262,5
225,315,286
669,554,21
983,217,36
917,761,972
640,829,136
331,18,952
387,478,469
536,66,39
346,332,563
355,252,336
180,435,474
578,276,477
356,451,449
479,669,640
396,641,808
944,633,458
979,878,247
465,847,673
319,923,40
329,44,528
987,926,355
553,838,428
976,120,857
687,543,850
900,917,660
468,12,510
